timestamp,sqm,Usage,TemperatureC,Humidity,Sea Level PressurehPa,Dew PointC,VisibilityKm,WindSpeedKmh,dayOfTheWeek,hourOfTheDay,dayOfTheYear
2014-12-02 22:00:00+00:00,4373.0,1.0,3.0,75.0,1027.0,-1.0,10.0,15.75,1,22,336
2014-12-02 23:00:00+00:00,4373.0,1.30000001,3.0,75.0,1027.0,-1.0,10.0,13.0,1,23,336
2014-12-03 00:00:00+00:00,4373.0,1.20000004,3.0,72.5,1027.0,-1.5,10.0,11.1,2,0,337
2014-12-03 01:00:00+00:00,4373.0,1.19999999,3.0,70.0,1027.0,-2.0,10.0,14.8,2,1,337
2014-12-03 02:00:00+00:00,4373.0,1.10000002,3.0,70.0,1027.0,-2.0,10.0,17.6,2,2,337
2014-12-03 03:00:00+00:00,4373.0,1.59999997,2.5,72.5,1027.0,-2.0,10.0,14.8,2,3,337
2014-12-03 04:00:00+00:00,4373.0,1.69999999,2.0,75.0,1027.0,-2.0,10.0,15.75,2,4,337
2014-12-03 05:00:00+00:00,4373.0,1.69999999,2.0,70.0,1027.0,-3.0,10.0,14.8,2,5,337
2014-12-03 06:00:00+00:00,4373.0,2.0,2.0,72.5,1027.0,-2.5,10.0,15.75,2,6,337
2014-12-03 07:00:00+00:00,4373.0,2.2,2.0,75.0,1027.0,-2.0,10.0,17.6,2,7,337
2014-12-03 08:00:00+00:00,4373.0,3.4,2.5,72.5,1027.0,-2.0,10.0,17.6,2,8,337
2014-12-03 09:00:00+00:00,4373.0,10.4000001,4.0,67.5,1027.0,-1.5,10.0,14.8,2,9,337
2014-12-03 10:00:00+00:00,4373.0,10.5,5.5,65.5,1027.0,-0.5,10.0,9.25,2,10,337
2014-12-03 11:00:00+00:00,4373.0,9.47999998,7.0,59.0,1026.0,-0.5,10.0,9.3,2,11,337
2014-12-03 12:00:00+00:00,4373.0,8.459999960000001,8.0,59.5,1025.5,0.5,10.0,13.899999999999999,2,12,337
2014-12-03 13:00:00+00:00,4373.0,7.43999994,8.0,64.0,1025.0,1.5,10.0,18.549999999999997,2,13,337
2014-12-03 14:00:00+00:00,4373.0,6.41999992,8.0,66.0,1024.0,2.0,10.0,12.05,2,14,337
2014-12-03 15:00:00+00:00,4373.0,5.3999999,6.5,68.0,1024.0,1.0,10.0,15.75,2,15,337
2014-12-03 16:00:00+00:00,4373.0,1.89999999,4.5,75.5,1024.0,0.5,10.0,11.1,2,16,337
2014-12-03 17:00:00+00:00,4373.0,1.5,4.0,75.0,1023.5,0.0,10.0,12.95,2,17,337
2014-12-03 18:00:00+00:00,4373.0,1.30000001,3.0,81.0,1023.0,0.0,10.0,14.8,2,18,337
2014-12-03 19:00:00+00:00,4373.0,1.40000003,3.0,81.0,1023.0,0.0,10.0,14.85,2,19,337
2014-12-03 20:00:00+00:00,4373.0,1.30000001,3.0,87.0,1022.5,1.0,10.0,17.6,2,20,337
2014-12-03 21:00:00+00:00,4373.0,1.0,3.5,84.0,1022.0,1.0,10.0,14.8,2,21,337
2014-12-03 22:00:00+00:00,4373.0,1.20000004,4.0,87.0,1021.5,2.0,10.0,10.2,2,22,337
2014-12-03 23:00:00+00:00,4373.0,1.30000001,5.0,84.0,1021.0,2.5,10.0,14.8,2,23,337
2014-12-04 00:00:00+00:00,4373.0,1.20000004,4.0,87.0,1020.0,2.0,10.0,13.0,3,0,338
2014-12-04 01:00:00+00:00,4373.0,1.10000002,4.5,87.0,1019.0,2.5,10.0,13.9,3,1,338
2014-12-04 02:00:00+00:00,4373.0,1.30000001,5.0,84.0,1019.0,2.5,10.0,13.0,3,2,338
2014-12-04 03:00:00+00:00,4373.0,1.19999999,5.0,81.0,1018.5,2.0,10.0,11.1,3,3,338
2014-12-04 04:00:00+00:00,4373.0,1.20000004,5.0,81.0,1018.0,2.0,10.0,10.2,3,4,338
2014-12-04 05:00:00+00:00,4373.0,1.20000004,4.0,90.0,1017.0,2.5,10.0,9.3,3,5,338
2014-12-04 06:00:00+00:00,4373.0,1.20000004,4.5,87.0,1017.0,2.5,10.0,10.2,3,6,338
2014-12-04 07:00:00+00:00,4373.0,1.60000002,4.5,87.0,1017.0,2.5,10.0,8.35,3,7,338
2014-12-04 08:00:00+00:00,4373.0,4.7000001,5.0,81.0,1017.0,2.0,10.0,10.2,3,8,338
2014-12-04 09:00:00+00:00,4373.0,7.899999900000001,5.0,87.0,1017.0,3.0,10.0,9.3,3,9,338
2014-12-04 10:00:00+00:00,4373.0,8.4000001,5.0,87.0,1016.5,3.0,10.0,10.2,3,10,338
2014-12-04 11:00:00+00:00,4373.0,9.6999998,6.0,81.0,1016.0,3.0,10.0,11.1,3,11,338
2014-12-04 12:00:00+00:00,4373.0,11.3000002,6.0,76.0,1015.0,2.0,10.0,11.15,3,12,338
2014-12-04 13:00:00+00:00,4373.0,9.766666766666667,6.0,76.0,1015.0,2.0,10.0,10.2,3,13,338
2014-12-04 14:00:00+00:00,4373.0,8.233333333333334,6.0,76.0,1014.5,2.0,10.0,8.350000000000001,3,14,338
2014-12-04 15:00:00+00:00,4373.0,6.699999900000001,5.5,78.5,1014.0,2.0,10.0,10.2,3,15,338
2014-12-04 16:00:00+00:00,4373.0,2.89999991,5.0,81.0,1014.5,2.0,10.0,7.45,3,16,338
2014-12-04 17:00:00+00:00,4373.0,1.79999996,5.0,81.0,1015.0,2.0,10.0,4.65,3,17,338
2014-12-04 18:00:00+00:00,4373.0,1.40000003,5.0,81.0,1015.0,2.0,9.0,5.6,3,18,338
2014-12-04 19:00:00+00:00,4373.0,1.20000004,4.0,87.0,1015.5,2.0,8.0,5.6,3,19,338
2014-12-04 20:00:00+00:00,4373.0,1.39999998,4.0,87.0,1016.0,2.0,8.0,6.5,3,20,338
2014-12-04 21:00:00+00:00,4373.0,1.39999998,4.0,87.0,1016.0,2.0,8.0,8.350000000000001,3,21,338
2014-12-04 22:00:00+00:00,4373.0,1.10000002,4.0,87.0,1016.0,2.0,9.0,10.2,3,22,338
2014-12-04 23:00:00+00:00,4373.0,1.39999998,4.0,87.0,1016.5,2.0,10.0,6.5,3,23,338
2014-12-05 00:00:00+00:00,4373.0,1.0,4.0,87.0,1017.0,2.0,10.0,7.45,4,0,339
2014-12-05 01:00:00+00:00,4373.0,1.39999998,4.0,81.0,1017.0,1.0,10.0,10.2,4,1,339
2014-12-05 02:00:00+00:00,4373.0,1.19999999,3.0,84.0,1018.0,0.5,10.0,11.1,4,2,339
2014-12-05 03:00:00+00:00,4373.0,1.20000004,2.5,84.0,1018.0,0.0,10.0,10.2,4,3,339
2014-12-05 04:00:00+00:00,4373.0,1.30000001,3.0,81.0,1018.0,0.0,10.0,9.3,4,4,339
2014-12-05 05:00:00+00:00,4373.0,1.5,2.5,84.0,1019.0,0.0,10.0,12.05,4,5,339
2014-12-05 06:00:00+00:00,4373.0,2.0,3.5,81.0,1019.0,0.5,10.0,13.9,4,6,339
2014-12-05 07:00:00+00:00,4373.0,2.9,4.0,81.0,1019.5,1.0,10.0,12.05,4,7,339
2014-12-05 08:00:00+00:00,4373.0,5.2999999,4.0,81.0,1020.0,1.0,10.0,12.95,4,8,339
2014-12-05 09:00:00+00:00,4373.0,9.5999999,5.0,81.0,1021.0,2.0,10.0,17.6,4,9,339
2014-12-05 10:00:00+00:00,4373.0,7.0,6.0,81.0,1021.5,3.0,10.0,17.6,4,10,339
2014-12-05 11:00:00+00:00,4373.0,11.0,7.0,73.5,1022.0,2.5,10.0,24.049999999999997,4,11,339
2014-12-05 12:00:00+00:00,4373.0,11.8999996,8.0,66.0,1022.0,2.0,10.0,27.8,4,12,339
2014-12-05 13:00:00+00:00,4373.0,11.64999985,8.0,62.0,1022.0,1.0,10.0,25.0,4,13,339
2014-12-05 14:00:00+00:00,4373.0,11.4000001,7.5,64.0,1022.0,1.0,10.0,25.950000000000003,4,14,339
2014-12-05 15:00:00+00:00,4373.0,5.2,6.5,68.0,1023.0,1.0,10.0,17.6,4,15,339
2014-12-05 16:00:00+00:00,4373.0,2.19999999,5.5,78.5,1023.0,2.0,10.0,20.4,4,16,339
2014-12-05 17:00:00+00:00,4373.0,1.40000003,5.0,81.0,1023.0,2.0,10.0,23.15,4,17,339
2014-12-05 18:00:00+00:00,4373.0,1.40000003,4.5,87.0,1024.5,2.5,9.0,18.549999999999997,4,18,339
2014-12-05 19:00:00+00:00,4373.0,1.0,3.0,93.0,1024.5,2.0,10.0,15.75,4,19,339
2014-12-05 20:00:00+00:00,4373.0,1.20000004,2.5,93.0,1025.0,1.5,10.0,16.7,4,20,339
2014-12-05 21:00:00+00:00,4373.0,1.0,3.0,90.0,1025.5,1.5,10.0,10.2,4,21,339
2014-12-05 22:00:00+00:00,4373.0,1.1,3.5,84.0,1026.0,1.0,10.0,14.85,4,22,339
2014-12-05 23:00:00+00:00,4373.0,1.10000002,2.0,87.0,1027.0,0.0,10.0,18.5,4,23,339
2014-12-06 00:00:00+00:00,4373.0,1.10000002,2.5,84.0,1027.0,0.0,10.0,17.6,5,0,340
2014-12-06 01:00:00+00:00,4373.0,1.20000004,2.5,87.0,1027.0,0.5,10.0,9.3,5,1,340
2014-12-06 02:00:00+00:00,4373.0,0.900000009999,2.0,87.0,1027.5,0.0,10.0,14.85,5,2,340
2014-12-06 03:00:00+00:00,4373.0,1.10000002,2.0,87.0,1028.0,0.0,10.0,16.7,5,3,340
2014-12-06 04:00:00+00:00,4373.0,1.19999999,1.5,90.0,1028.0,0.0,10.0,17.6,5,4,340
2014-12-06 05:00:00+00:00,4373.0,0.900000009999,2.0,93.0,1028.0,1.0,10.0,16.7,5,5,340
2014-12-06 06:00:00+00:00,4373.0,1.19999999,2.0,87.0,1029.0,0.0,10.0,15.75,5,6,340
2014-12-06 07:00:00+00:00,4373.0,2.0,1.5,93.0,1029.0,0.5,10.0,9.3,5,7,340
2014-12-06 08:00:00+00:00,4373.0,1.80000001,2.5,90.0,1029.0,1.0,10.0,11.15,5,8,340
2014-12-06 09:00:00+00:00,4373.0,1.30000001,4.0,87.0,1029.5,2.0,10.0,13.9,5,9,340
2014-12-06 10:00:00+00:00,4373.0,1.0,6.5,84.0,1030.0,4.0,10.0,10.2,5,10,340
2014-12-06 11:00:00+00:00,4373.0,1.19999999,7.5,81.0,1029.0,4.5,-9999.0,9.3,5,11,340
2014-12-06 12:00:00+00:00,4373.0,1.0,8.5,78.5,1029.0,5.0,10.0,12.95,5,12,340
2014-12-06 13:00:00+00:00,4373.0,1.19999999,9.0,76.0,1028.0,5.0,10.0,11.15,5,13,340
2014-12-06 14:00:00+00:00,4373.0,1.10000002,8.5,81.5,1028.0,5.5,10.0,8.350000000000001,5,14,340
2014-12-06 15:00:00+00:00,4373.0,1.0,8.0,87.0,1027.5,6.0,10.0,8.350000000000001,5,15,340
2014-12-06 16:00:00+00:00,4373.0,1.20000004,8.0,87.0,1027.0,6.0,10.0,10.2,5,16,340
2014-12-06 17:00:00+00:00,4373.0,1.10000002,8.5,87.0,1026.0,6.5,10.0,10.2,5,17,340
2014-12-06 18:00:00+00:00,4373.0,1.0,9.0,82.0,1026.0,6.0,10.0,13.9,5,18,340
2014-12-06 19:00:00+00:00,4373.0,1.20000004,9.0,82.0,1025.0,6.0,10.0,12.05,5,19,340
2014-12-06 20:00:00+00:00,4373.0,1.1,9.0,87.0,1025.0,7.0,10.0,18.5,5,20,340
2014-12-06 21:00:00+00:00,4373.0,1.0,9.0,93.0,1024.0,8.0,10.0,18.5,5,21,340
2014-12-06 22:00:00+00:00,4373.0,1.10000002,9.5,90.0,1023.5,8.0,10.0,19.45,5,22,340
2014-12-06 23:00:00+00:00,4373.0,1.00000003,9.5,93.5,1023.0,8.5,10.0,19.45,5,23,340
2014-12-07 00:00:00+00:00,4373.0,1.1,10.0,94.0,1022.0,9.0,10.0,18.5,6,0,341
2014-12-07 01:00:00+00:00,4373.0,1.20000004,10.0,94.0,1021.0,9.0,6.45,22.2,6,1,341
2014-12-07 02:00:00+00:00,4373.0,1.10000002,10.0,100.0,1020.0,10.0,1.85,25.950000000000003,6,2,341
2014-12-07 03:00:00+00:00,4373.0,0.900000009999,10.0,100.0,1019.0,10.0,10.0,25.9,6,3,341
2014-12-07 04:00:00+00:00,4373.0,1.30000001,11.0,91.0,1018.5,9.5,10.0,27.8,6,4,341
2014-12-07 05:00:00+00:00,4373.0,0.900000009999,10.5,91.0,1018.0,9.0,-4996.0,29.6,6,5,341
2014-12-07 06:00:00+00:00,4373.0,1.19999999,10.5,97.0,1017.0,10.0,3.75,28.700000000000003,6,6,341
2014-12-07 07:00:00+00:00,4373.0,1.20000004,11.0,94.0,1016.0,10.0,3.35,31.5,6,7,341
2014-12-07 08:00:00+00:00,4373.0,1.40000003,9.5,87.0,1017.0,7.5,10.0,28.7,6,8,341
2014-12-07 09:00:00+00:00,4373.0,0.800000019997,9.0,79.0,1018.0,5.5,10.0,30.55,6,9,341
2014-12-07 10:00:00+00:00,4373.0,1.20000004,9.0,76.0,1018.0,5.0,10.0,31.45,6,10,341
2014-12-07 11:00:00+00:00,4373.0,0.900000009999,8.0,76.0,1019.0,4.0,10.0,29.65,6,11,341
2014-12-07 12:00:00+00:00,4373.0,1.00000003,8.0,76.0,1019.0,4.0,10.0,26.85,6,12,341
2014-12-07 13:00:00+00:00,4373.0,1.10000002,7.0,71.0,1019.5,2.0,10.0,33.3,6,13,341
2014-12-07 14:00:00+00:00,4373.0,1.10000002,7.0,71.0,1020.0,2.0,10.0,29.6,6,14,341
2014-12-07 15:00:00+00:00,4373.0,0.900000009999,6.5,68.5,1020.0,1.0,10.0,26.85,6,15,341
2014-12-07 16:00:00+00:00,4373.0,1.19999999,6.0,66.0,1020.0,0.0,10.0,29.65,6,16,341
2014-12-07 17:00:00+00:00,4373.0,1.20000004,5.5,68.0,1020.5,0.0,10.0,25.0,6,17,341
2014-12-07 18:00:00+00:00,4373.0,1.69999999,5.0,73.0,1021.0,0.5,10.0,19.45,6,18,341
2014-12-07 19:00:00+00:00,4373.0,1.60000002,5.0,76.0,1021.0,1.0,10.0,15.75,6,19,341
2014-12-07 20:00:00+00:00,4373.0,1.69999999,4.5,78.5,1021.0,1.0,10.0,15.75,6,20,341
2014-12-07 21:00:00+00:00,4373.0,1.59999997,4.5,78.5,1021.0,1.0,10.0,14.85,6,21,341
2014-12-07 22:00:00+00:00,4373.0,1.59999997,6.0,76.0,1020.0,2.0,10.0,18.549999999999997,6,22,341
2014-12-07 23:00:00+00:00,4373.0,1.60000002,5.0,81.0,1020.0,2.0,-4994.5,17.6,6,23,341
2014-12-08 00:00:00+00:00,4373.0,1.59999997,4.5,90.0,1019.5,3.0,9.0,16.65,0,0,342
2014-12-08 01:00:00+00:00,4373.0,1.79999996,5.0,87.0,1019.0,3.0,10.0,17.6,0,1,342
2014-12-08 02:00:00+00:00,4373.0,1.5,5.0,87.0,1018.0,3.0,10.0,14.8,0,2,342
2014-12-08 03:00:00+00:00,4373.0,1.5,4.5,90.0,1018.0,3.0,6.4,16.65,0,3,342
2014-12-08 04:00:00+00:00,4373.0,1.80000001,3.5,90.0,1018.0,2.0,10.0,6.5,0,4,342
2014-12-08 05:00:00+00:00,4373.0,1.5,3.0,93.0,1018.0,2.0,10.0,10.2,0,5,342
2014-12-08 06:00:00+00:00,4373.0,1.79999996,3.0,93.0,1018.0,2.0,10.0,12.95,0,6,342
2014-12-08 07:00:00+00:00,4373.0,3.0,3.0,93.0,1019.0,2.0,10.0,17.6,0,7,342
2014-12-08 08:00:00+00:00,4373.0,4.3,3.0,93.0,1019.5,2.0,10.0,17.6,0,8,342
2014-12-08 09:00:00+00:00,4373.0,7.400000099999999,4.5,84.0,1020.0,2.0,10.0,23.15,0,9,342
2014-12-08 10:00:00+00:00,4373.0,7.7999997,5.5,81.0,1021.0,2.5,10.0,22.25,0,10,342
2014-12-08 11:00:00+00:00,4373.0,12.0,6.5,78.5,1021.0,3.0,10.0,26.85,0,11,342
2014-12-08 12:00:00+00:00,4373.0,11.5999999,7.0,73.5,1021.0,2.5,10.0,29.65,0,12,342
2014-12-08 13:00:00+00:00,4373.0,9.666666566666667,7.0,66.0,1021.5,1.0,10.0,34.25,0,13,342
2014-12-08 14:00:00+00:00,4373.0,7.733333233333333,7.0,66.0,1022.0,1.0,10.0,27.75,0,14,342
2014-12-08 15:00:00+00:00,4373.0,5.7999999,4.0,81.5,1023.0,1.0,10.0,18.5,0,15,342
2014-12-08 16:00:00+00:00,4373.0,2.29999999,3.5,84.0,1023.5,1.0,10.0,13.0,0,16,342
2014-12-08 17:00:00+00:00,4373.0,1.5,3.0,87.0,1024.5,1.0,10.0,10.2,0,17,342
2014-12-08 18:00:00+00:00,4373.0,1.5,3.0,81.0,1025.5,0.0,10.0,9.3,0,18,342
2014-12-08 19:00:00+00:00,4373.0,1.10000002,3.0,84.0,1026.5,0.5,10.0,12.95,0,19,342
2014-12-08 20:00:00+00:00,4373.0,1.30000001,2.5,84.0,1027.0,0.0,10.0,11.1,0,20,342
2014-12-08 21:00:00+00:00,4373.0,1.10000002,3.0,81.0,1028.0,0.0,10.0,16.65,0,21,342
2014-12-08 22:00:00+00:00,4373.0,1.5,2.5,87.0,1028.0,0.5,10.0,15.75,0,22,342
2014-12-08 23:00:00+00:00,4373.0,1.0,3.0,87.0,1028.0,1.0,10.0,15.75,0,23,342
2014-12-09 00:00:00+00:00,4373.0,1.10000002,3.0,87.0,1029.0,1.0,10.0,13.899999999999999,1,0,343
2014-12-09 01:00:00+00:00,4373.0,1.10000002,2.5,87.0,1029.0,0.5,10.0,5.550000000000001,1,1,343
2014-12-09 02:00:00+00:00,4373.0,1.60000002,2.5,90.0,1029.0,1.0,10.0,9.3,1,2,343
2014-12-09 03:00:00+00:00,4373.0,1.80000001,3.0,87.0,1029.0,1.0,10.0,10.2,1,3,343
2014-12-09 04:00:00+00:00,4373.0,1.99999998,3.0,87.0,1028.0,1.0,10.0,9.3,1,4,343
2014-12-09 05:00:00+00:00,4373.0,1.69999999,4.0,87.0,1028.0,2.0,10.0,9.25,1,5,343
2014-12-09 06:00:00+00:00,4373.0,2.1,4.0,87.0,1028.0,2.0,10.0,4.65,1,6,343
2014-12-09 07:00:00+00:00,4373.0,2.1,6.5,84.0,1027.0,4.0,10.0,10.2,1,7,343
2014-12-09 08:00:00+00:00,4373.0,3.5999999,7.5,78.5,1027.5,4.0,10.0,16.65,1,8,343
2014-12-09 09:00:00+00:00,4373.0,8.5999999,7.5,78.5,1026.5,4.0,10.0,15.75,1,9,343
2014-12-09 10:00:00+00:00,4373.0,11.5,8.0,76.0,1026.5,4.0,10.0,14.8,1,10,343
2014-12-09 11:00:00+00:00,4373.0,10.120000019999999,9.0,76.0,1024.5,5.0,10.0,22.25,1,11,343
2014-12-09 12:00:00+00:00,4373.0,8.74000004,9.0,79.0,1024.0,5.5,10.0,21.299999999999997,1,12,343
2014-12-09 13:00:00+00:00,4373.0,7.36000006,9.5,84.5,1022.5,7.0,10.0,25.0,1,13,343
2014-12-09 14:00:00+00:00,4373.0,5.98000008,10.0,87.0,1020.5,8.0,10.0,21.299999999999997,1,14,343
2014-12-09 15:00:00+00:00,4373.0,4.6000001,10.5,84.5,1019.5,8.0,10.0,25.950000000000003,1,15,343
2014-12-09 16:00:00+00:00,4373.0,2.4,11.0,88.0,1018.0,9.0,10.0,25.0,1,16,343
2014-12-09 17:00:00+00:00,4373.0,1.30000001,11.0,88.0,1017.5,9.0,10.0,20.35,1,17,343
2014-12-09 18:00:00+00:00,4373.0,1.30000001,11.5,91.0,1016.0,10.0,8.0,25.0,1,18,343
2014-12-09 19:00:00+00:00,4373.0,1.10000002,11.0,100.0,1015.5,11.0,5.0,29.65,1,19,343
2014-12-09 20:00:00+00:00,4373.0,1.20000004,11.5,97.0,1014.5,11.0,-4994.5,31.5,1,20,343
2014-12-09 21:00:00+00:00,4373.0,1.10000002,11.5,97.0,1014.0,11.0,-4997.0,36.1,1,21,343
2014-12-09 22:00:00+00:00,4373.0,1.39999998,11.0,100.0,1013.0,11.0,5.5,37.95,1,22,343
2014-12-09 23:00:00+00:00,4373.0,1.19999999,10.5,97.0,1013.0,10.0,8.0,39.8,1,23,343
2014-12-10 00:00:00+00:00,4373.0,1.20000004,9.5,81.5,1013.0,6.5,9.5,38.85,2,0,344
2014-12-10 01:00:00+00:00,4373.0,1.30000001,9.0,73.5,1013.0,4.5,10.0,39.8,2,1,344
2014-12-10 02:00:00+00:00,4373.0,1.19999999,9.0,68.5,1014.0,3.5,10.0,40.7,2,2,344
2014-12-10 03:00:00+00:00,4373.0,1.10000002,8.5,73.5,1013.5,4.0,10.0,37.95,2,3,344
2014-12-10 04:00:00+00:00,4373.0,1.19999999,7.5,76.0,1014.5,3.5,10.0,41.650000000000006,2,4,344
2014-12-10 05:00:00+00:00,4373.0,1.19999999,7.0,76.0,1015.0,3.0,10.0,37.95,2,5,344
2014-12-10 06:00:00+00:00,4373.0,2.00000002,6.5,78.5,1016.0,3.0,9.5,40.75,2,6,344
2014-12-10 07:00:00+00:00,4373.0,3.7999998999999995,6.0,81.0,1016.0,3.0,10.0,28.700000000000003,2,7,344
2014-12-10 08:00:00+00:00,4373.0,4.7,6.0,76.0,1017.0,2.0,10.0,28.7,2,8,344
2014-12-10 09:00:00+00:00,4373.0,8.200000099999999,7.0,71.0,1017.5,2.0,10.0,23.15,2,9,344
2014-12-10 10:00:00+00:00,4373.0,8.5999999,7.0,73.5,1018.0,2.5,10.0,30.55,2,10,344
2014-12-10 11:00:00+00:00,4373.0,10.1999998,8.0,71.0,1017.0,3.0,10.0,29.599999999999998,2,11,344
2014-12-10 12:00:00+00:00,4373.0,11.4000001,9.0,60.0,1017.0,1.5,10.0,31.45,2,12,344
2014-12-10 13:00:00+00:00,4373.0,9.533333433333333,9.0,62.0,1016.5,2.0,10.0,36.1,2,13,344
2014-12-10 14:00:00+00:00,4373.0,7.6666667666666655,8.0,71.0,1016.0,3.0,10.0,27.75,2,14,344
2014-12-10 15:00:00+00:00,4373.0,5.800000099999999,8.0,68.5,1016.0,2.5,10.0,29.6,2,15,344
